Year Month,Postal Code,Customer Class,Total Gallons
2012/04,78702,Irrigation - Residential,"37,100"
2012/04,78703,Residential,"47,139,500"
2012/04,78703,Irrigation - Residential,"1,041,600"
2012/04,78703,Irrigation - Multi-Family,"348,300"
2012/04,78703,Multi-Family,"11,657,200"
2012/04,78704,Irrigation - Residential,"162,400"
2012/04,78704,Multi-Family,"44,992,300"
2012/04,78704,Residential,"43,624,800"
2012/04,78704,Irrigation - Multi-Family,"770,100"
2012/04,78705,Irrigation - Multi-Family,"360,800"
2012/04,78705,Irrigation - Residential,"42,700"
2012/04,78705,Multi-Family,"31,638,900"
2012/04,78705,Residential,"9,438,800"
2012/04,78712,Residential,0
2012/04,78717,Irrigation - Residential,"9,400"
2012/04,78717,Multi-Family,"7,955,500"
2012/04,78717,Irrigation - Multi-Family,"2,401,100"
2012/04,78717,Residential,"37,056,200"
2012/04,78719,Residential,"1,472,900"
2012/04,78719,Multi-Family,"583,800"
2012/04,78721,Irrigation - Multi-Family,0
2012/04,78721,Multi-Family,"4,098,200"
2012/04,78721,Residential,"15,055,400"
2012/04,78721,Irrigation - Residential,"1,900"
2012/04,78722,Irrigation - Multi-Family,0
2012/04,78722,Multi-Family,"2,374,100"
2012/04,78722,Residential,"8,156,000"
2012/04,78723,Irrigation - Multi-Family,"129,000"
2012/04,78723,Multi-Family,"19,670,700"
2012/04,78723,Residential,"33,824,100"
2012/04,78724,Irrigation - Multi-Family,0
2012/04,78724,Multi-Family,"10,940,900"
2012/04,78724,Residential,"19,117,000"
2012/04,78724,Irrigation - Residential,"32,000"
2012/04,78725,Multi-Family,"227,100"
2012/04,78725,Residential,"2,102,600"
2012/04,78726,Multi-Family,"11,272,400"
2012/04,78726,Irrigation - Residential,"32,100"
2012/04,78726,Irrigation - Multi-Family,"2,657,700"
2012/04,78726,Residential,"16,910,800"
2012/04,78727,Residential,"37,713,500"
2012/04,78727,Irrigation - Residential,"5,600"
2012/04,78727,Multi-Family,"17,900,400"
2012/04,78727,Irrigation - Multi-Family,"3,120,000"
2012/04,78728,Irrigation - Multi-Family,"865,000"
2012/04,78728,Multi-Family,"6,612,100"
2012/04,78728,Residential,"4,502,800"
2012/04,78729,Irrigation - Multi-Family,"1,474,400"
2012/04,78729,Irrigation - Residential,"1,800"
2012/04,78729,Multi-Family,"21,324,000"
2012/04,78729,Residential,"20,781,300"
2012/04,78730,Irrigation - Residential,"152,600"
2012/04,78730,Multi-Family,"4,327,500"
2012/04,78730,Residential,"7,679,700"
2012/04,78730,Irrigation - Multi-Family,"1,561,500"
2012/04,78731,Multi-Family,"17,484,400"
2012/04,78731,Residential,"57,267,500"
2012/04,78731,Irrigation - Residential,"321,800"
2012/04,78731,Irrigation - Multi-Family,"485,000"
2012/04,78735,Residential,"22,994,300"
2012/04,78735,Irrigation - Multi-Family,"1,026,000"
2012/04,78735,Multi-Family,"9,834,000"
2012/04,78736,Irrigation - Multi-Family,"386,200"
2012/04,78736,Multi-Family,"2,673,900"
2012/04,78736,Residential,"12,997,900"
2012/04,78736,Irrigation - Residential,"13,900"
2012/04,78737,Residential,"6,091,400"
2012/04,78737,Irrigation - Residential,"2,700"
2012/04,78738,Residential,"7,400"
2012/04,78739,Irrigation - Residential,0
2012/04,78739,Residential,"33,574,200"
2012/04,78741,Residential,"17,964,489"
2012/04,78741,Multi-Family,"76,021,300"
2012/04,78741,Irrigation - Residential,"4,300"
2012/04,78741,Irrigation - Multi-Family,"1,590,900"
2012/04,78742,Residential,"632,100"
2012/04,78742,Multi-Family,"313,300"
2012/04,78744,Multi-Family,"21,669,700"
2012/04,78744,Irrigation - Multi-Family,"231,400"
2012/04,78744,Residential,"48,413,900"
2012/04,78744,Irrigation - Residential,500
2012/04,78745,Irrigation - Residential,"27,000"
2012/04,78745,Irrigation - Multi-Family,"1,662,200"
2012/04,78745,Multi-Family,"29,728,000"
2012/04,78745,Residential,"72,801,300"
2012/04,78746,Irrigation - Residential,"282,000"
2012/04,78746,Residential,"29,161,300"
2012/04,78746,Multi-Family,"12,587,100"
2012/04,78746,Irrigation - Multi-Family,"614,800"
2012/04,78747,Residential,"21,074,400"
2012/04,78747,Multi-Family,"6,711,000"
2012/04,78747,Irrigation - Multi-Family,"430,600"
2012/04,78747,Irrigation - Residential,"70,800"
2012/04,78748,Residential,"65,768,200"
2012/04,78748,Multi-Family,"14,173,800"
2012/04,78748,Irrigation - Residential,"2,000"
2012/04,78748,Irrigation - Multi-Family,"2,148,900"
2012/04,78749,Irrigation - Multi-Family,"2,534,200"
2012/04,78749,Irrigation - Residential,"3,500"
2012/04,78749,Multi-Family,"13,511,200"
2012/04,78749,Residential,"63,103,700"
2012/04,78750,Irrigation - Multi-Family,"1,200,200"
2012/04,78750,Multi-Family,"11,615,000"
2012/04,78750,Irrigation - Residential,"19,800"
2012/04,78750,Residential,"53,329,900"
2012/04,78751,Irrigation - Residential,"57,500"
2012/04,78751,Residential,"15,209,000"
2012/04,78751,Irrigation - Multi-Family,"322,500"
2012/04,78751,Multi-Family,"12,844,000"
2012/04,78752,Irrigation - Multi-Family,"63,900"
2012/04,78752,Multi-Family,"20,013,900"
2012/04,78752,Residential,"12,251,100"
2012/04,78753,Irrigation - Residential,0
2012/04,78753,Irrigation - Multi-Family,"2,333,700"
2012/04,78753,Multi-Family,"50,779,500"
2012/04,78753,Residential,"42,914,500"
2012/04,78754,Irrigation - Multi-Family,"1,253,400"
2012/04,78754,Residential,"20,999,000"
2012/04,78754,Irrigation - Residential,0
2012/04,78754,Multi-Family,"11,735,400"
2012/04,78756,Irrigation - Residential,"7,200"
2012/04,78756,Multi-Family,"5,331,700"
2012/04,78756,Residential,"10,685,500"
2012/04,78756,Irrigation - Multi-Family,"56,300"
2012/04,78757,Irrigation - Multi-Family,"36,500"
