Year Month,Postal Code,Customer Class,Total Gallons
2012/04,78730,Residential,7679700
2012/04,78730,Irrigation - Multi-Family,1561500
2012/04,78731,Multi-Family,17484400
2012/04,78731,Residential,57267500
2012/04,78731,Irrigation - Residential,321800
2012/04,78731,Irrigation - Multi-Family,485000
2012/04,78735,Residential,22994300
2012/04,78735,Irrigation - Multi-Family,1026000
2012/04,78735,Multi-Family,9834000
2012/04,78736,Irrigation - Multi-Family,386200
2012/04,78736,Multi-Family,2673900
2012/04,78736,Residential,12997900
2012/04,78736,Irrigation - Residential,13900
2012/04,78737,Residential,6091400
2012/04,78737,Irrigation - Residential,2700
2012/04,78738,Residential,7400
2012/04,78739,Irrigation - Residential,0
2012/04,78739,Residential,33574200
2012/04,78741,Residential,17964489
2012/04,78741,Multi-Family,76021300
2012/04,78741,Irrigation - Residential,4300
2012/04,78741,Irrigation - Multi-Family,1590900
2012/04,78742,Residential,632100
2012/04,78742,Multi-Family,313300
2012/04,78744,Multi-Family,21669700
2012/04,78744,Irrigation - Multi-Family,231400
2012/04,78744,Residential,48413900
2012/04,78744,Irrigation - Residential,500
2012/04,78745,Irrigation - Residential,27000
2012/04,78745,Irrigation - Multi-Family,1662200
2012/04,78745,Multi-Family,29728000
2012/04,78745,Residential,72801300
2012/04,78746,Irrigation - Residential,282000
2012/04,78746,Residential,29161300
2012/04,78746,Multi-Family,12587100
2012/04,78746,Irrigation - Multi-Family,614800
2012/04,78747,Residential,21074400
2012/04,78747,Multi-Family,6711000
2012/04,78747,Irrigation - Multi-Family,430600
2012/04,78747,Irrigation - Residential,70800
2012/04,78748,Residential,65768200
2012/04,78748,Multi-Family,14173800
2012/04,78748,Irrigation - Residential,2000
2012/04,78748,Irrigation - Multi-Family,2148900
2012/04,78749,Irrigation - Multi-Family,2534200
2012/04,78749,Irrigation - Residential,3500
2012/04,78749,Multi-Family,13511200
2012/04,78749,Residential,63103700
2012/04,78750,Irrigation - Multi-Family,1200200
2012/04,78750,Multi-Family,11615000
2012/04,78750,Irrigation - Residential,19800
2012/04,78750,Residential,53329900
2012/04,78751,Irrigation - Residential,57500
2012/04,78751,Residential,15209000
2012/04,78751,Irrigation - Multi-Family,322500
